name,type,lineno,args_count,complexity,docstring_len,decorators_count
pdm_build_initialize,function,9,1,7,0,0
main,function,26,0,18,0,0
callback,function,20,0,1,0,1
generate_readme_content,function,25,0,2,0,0
generate_readme,function,44,0,1,45,1
verify_readme,function,55,0,2,43,1
live,function,72,1,2,237,1
build,function,90,0,1,15,1
serve,function,100,0,1,203,1
generate_docs_src_versions_for_file,function,122,1,3,0,1
generate_renamed_section_items,function,9,1,6,0,0
on_nav,function,34,1,1,0,0
test_split_annotations_from_typer_annotations_simple,function,17,0,3,0,0
test_forbid_default_value_in_annotated_argument,function,27,0,3,0,0
cmd,function,33,1,1,0,1
test_allow_options_to_have_names,function,44,0,3,0,0
cmd,function,48,1,1,0,1
test_forbid_annotated_param_and_default_param,function,63,2,3,0,1
cmd,function,67,1,1,0,1
test_forbid_multiple_typer_params_in_annotated,function,79,0,3,0,0
cmd,function,83,1,1,0,1
test_allow_multiple_non_typer_params_in_annotated,function,93,0,3,0,0
cmd,function,97,1,1,0,1
test_forbid_default_factory_and_default_value_in_annotated,function,113,2,3,0,1
make_string,function,114,0,1,0,0
cmd,function,120,1,1,0,1
test_allow_default_factory_with_default_param,function,140,1,3,0,1
make_string,function,141,0,1,0,0
cmd,function,147,1,1,0,1
test_forbid_default_and_default_factory_with_default_param,function,162,2,3,0,1
make_string,function,163,0,1,0,0
cmd,function,169,1,1,0,1
test_error_rendering,function,231,2,2,0,1
test_annotated_argument_with_default,function,13,0,5,0,0
cmd,function,17,1,1,0,1
test_annotated_argument_in_string_type_with_default,function,30,0,5,0,1
cmd,function,34,1,1,0,1
test_annotated_argument_with_default_factory,function,46,0,5,0,0
make_string,function,49,0,1,0,0
cmd,function,53,1,1,0,1
test_annotated_option_with_argname_doesnt_mutate_multiple_calls,function,65,0,6,0,0
cmd,function,69,1,2,0,1
test_annotated_custom_path,function,84,0,4,0,0
custom_parser,function,94,1,2,0,1
test_warns_when_callback_is_not_supported,function,8,0,3,0,0
callback,function,14,0,1,27,1
test_warns_when_callback_is_not_supported_added_after_add_typer,function,28,0,3,0,0
callback,function,35,0,1,27,1
test_hidden_option,function,10,0,7,0,0
test_hidden_option_no_rich,function,20,1,7,0,0
test_coverage_call,function,32,0,3,0,0
test_deprecation,function,10,0,2,0,0
add_command,function,13,0,1,0,0
cmd,function,15,1,1,0,1
test_eoferror,function,10,0,2,0,0
main,function,15,0,1,0,1
test_keyboardinterrupt,function,22,0,3,0,0
main,function,27,0,1,0,1
test_oserror,function,35,0,2,0,0
main,function,40,0,1,0,1
test_oserror_no_epipe,function,49,0,2,0,0
main,function,54,0,1,0,1
test_annotated,function,11,0,6,0,0
cmd,function,15,1,2,0,1
test_launch_url_unix,function,18,2,2,0,1
test_launch_url_windows,function,31,0,2,0,0
test_launch_url_no_xdg_open,function,41,0,2,0,0
test_calls_original_launch_when_not_passing_urls,function,52,0,2,0,0
test_help_from_info,function,24,0,2,0,0
test_defaults_from_info,function,30,0,2,0,0
test_too_many_parsers,function,36,0,2,0,0
custom_parser,function,37,1,1,0,0
convert,function,43,4,1,0,0
test_valid_parser_permutations,function,60,0,1,0,0
custom_parser,function,61,1,1,0,0
convert,function,67,4,1,0,0
test_install_invalid_shell,function,81,0,4,0,1
main,function,85,0,1,0,1
test_callback_too_many_parameters,function,97,0,3,0,0
name_callback,function,100,4,1,0,0
main,function,104,1,1,0,1
test_callback_2_untyped_parameters,function,114,0,3,0,0
name_callback,function,117,2,1,0,0
main,function,122,1,1,0,1
test_callback_3_untyped_parameters,function,130,0,4,0,0
name_callback,function,133,3,1,0,0
main,function,139,1,1,0,1
test_callback_4_list_none,function,148,0,6,0,0
names_callback,function,151,3,3,0,0
main,function,157,1,2,0,1
test_empty_list_default_generator,function,174,0,2,0,0
empty_list,function,175,0,1,0,0
main,function,181,1,1,0,1
