文件,函数,参数,注解
pdm_build.py,pdm_build_initialize,context,Context
scripts\deploy_docs_status.py,main,return,None
scripts\docs.py,callback,return,None
scripts\docs.py,generate_readme_content,return,str
scripts\docs.py,generate_readme,return,None
scripts\docs.py,verify_readme,return,None
scripts\docs.py,live,return,None
scripts\docs.py,live,dirty,bool
scripts\docs.py,build,return,None
scripts\docs.py,serve,return,None
scripts\docs.py,generate_docs_src_versions_for_file,return,None
scripts\docs.py,generate_docs_src_versions_for_file,file_path,Path
scripts\mkdocs_hooks.py,generate_renamed_section_items,return,"list[Union[Page, Section, Link]]"
scripts\mkdocs_hooks.py,generate_renamed_section_items,items,"list[Union[Page, Section, Link]]"
scripts\mkdocs_hooks.py,generate_renamed_section_items,config,MkDocsConfig
scripts\mkdocs_hooks.py,on_nav,return,Navigation
scripts\mkdocs_hooks.py,on_nav,nav,Navigation
scripts\mkdocs_hooks.py,on_nav,config,MkDocsConfig
scripts\mkdocs_hooks.py,on_nav,files,Files
scripts\mkdocs_hooks.py,on_nav,kwargs,Any
tests\test_ambiguous_params.py,cmd,my_param,"Annotated[str, typer.Argument(""foo"")]"
tests\test_ambiguous_params.py,cmd,my_param,"Annotated[str, typer.Option(""--some-opt"")]"
tests\test_ambiguous_params.py,cmd,my_param,"Annotated[str, param()]"
tests\test_ambiguous_params.py,cmd,my_param,"Annotated[str, typer.Argument(), typer.Argument()]"
tests\test_ambiguous_params.py,cmd,my_param,"Annotated[str, ""someval"", typer.Argument(), 4]"
tests\test_ambiguous_params.py,cmd,my_param,"Annotated[str, param(default_factory=make_string)]"
tests\test_ambiguous_params.py,cmd,my_param,str
tests\test_ambiguous_params.py,cmd,my_param,str
tests\test_annotated.py,cmd,val,"Annotated[int, typer.Argument()]"
tests\test_annotated.py,cmd,val,"""Annotated[int, typer.Argument()]"""
tests\test_annotated.py,cmd,val,"Annotated[str, typer.Argument(default_factory=make_string)]"
tests\test_annotated.py,cmd,force,"Annotated[bool, typer.Option(""--force"")]"
tests\test_annotated.py,custom_parser,my_path,"Annotated[CustomPath, typer.Argument(parser=CustomPath)]"
tests\test_corner_cases.py,test_hidden_option_no_rich,monkeypatch,pytest.MonkeyPatch
tests\test_deprecation.py,cmd,opt,Optional[float]
tests\test_future_annotations.py,cmd,force,"Annotated[bool, typer.Option(""--force"")]"
tests\test_launch.py,test_launch_url_unix,system,str
tests\test_launch.py,test_launch_url_unix,command,str
tests\test_others.py,custom_parser,return,int
tests\test_others.py,custom_parser,value,str
tests\test_others.py,convert,return,typing.Any
tests\test_others.py,convert,value,str
tests\test_others.py,convert,param,typing.Optional[click.Parameter]
tests\test_others.py,convert,ctx,typing.Optional[click.Context]
tests\test_others.py,custom_parser,return,int
tests\test_others.py,custom_parser,value,str
tests\test_others.py,convert,return,typing.Any
tests\test_others.py,convert,value,str
tests\test_others.py,convert,param,typing.Optional[click.Parameter]
tests\test_others.py,convert,ctx,typing.Optional[click.Context]
tests\test_others.py,main,name,str
tests\test_others.py,main,name,str
tests\test_others.py,main,name,str
tests\test_others.py,names_callback,values,typing.Optional[list[str]]
tests\test_others.py,main,names,typing.Optional[list[str]]
tests\test_others.py,empty_list,return,list[str]
tests\test_others.py,main,names,"Annotated[list[str], typer.Option(default_factory=empty_list)]"
tests\test_others.py,main,name,str
tests\test_others.py,main,arg2,int
tests\test_others.py,main,arg3,"""int"""
tests\test_others.py,main,arg4,bool
tests\test_others.py,main,arg5,"""bool"""
tests\test_others.py,main,name,str
tests\test_param_meta_empty.py,__eq__,return,bool
tests\test_param_meta_empty.py,__ne__,return,bool
tests\test_param_meta_empty.py,__ne__,other,object
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_markup_mode.py,test_markup_mode_newline_pr815,mode,str
tests\test_rich_markup_mode.py,test_markup_mode_newline_pr815,lines,list[str]
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_markup_mode.py,test_markup_mode_newline_issue447,mode,str
tests\test_rich_markup_mode.py,test_markup_mode_newline_issue447,lines,list[str]
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_markup_mode.py,test_markup_mode_newline_mixed,mode,str
tests\test_rich_markup_mode.py,test_markup_mode_newline_mixed,lines,list[str]
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_markup_mode.py,test_markup_mode_bullets_single_newline,mode,str
tests\test_rich_markup_mode.py,test_markup_mode_bullets_single_newline,lines,list[str]
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_markup_mode.py,test_markup_mode_bullets_double_newline,mode,str
tests\test_rich_markup_mode.py,test_markup_mode_bullets_double_newline,lines,list[str]
tests\test_rich_markup_mode.py,main,arg,str
tests\test_rich_utils.py,main,return,None
tests\test_rich_utils.py,main,name,str
tests\test_rich_utils.py,main,option_1,str
tests\test_rich_utils.py,main,option_2,str
tests\test_rich_utils.py,main,bar,str
tests\test_types.py,hello,return,None
tests\test_types.py,hello,name,User
tests\test_types.py,test_enum_choice,return,None
tests\test_type_conversion.py,opt,user,Optional[str]
tests\test_type_conversion.py,opt,user,str | None
tests\test_type_conversion.py,opt,number,"Optional[tuple[int, int]]"
tests\test_type_conversion.py,list_conversion,container,type_annotation
tests\test_type_conversion.py,tuple_recursive_conversion,container,type_annotation
tests\test_type_conversion.py,custom_parser,hex_value,int
tests\test_type_conversion.py,convert,return,Any
tests\test_type_conversion.py,convert,value,Any
tests\test_type_conversion.py,convert,param,Optional[click.Parameter]
tests\test_type_conversion.py,convert,ctx,Optional[click.Context]
tests\test_type_conversion.py,custom_click_type,hex_value,int
tests\utils.py,strip_double_spaces,return,str
tests\utils.py,strip_double_spaces,text,str
tests\utils.py,normalize_rich_output,return,str
tests\utils.py,normalize_rich_output,text,str
tests\utils.py,normalize_rich_output,replace_with,str
tests\utils.py,normalize_rich_output,squash_whitespaces,bool
typer\cli.py,__init__,return,None
typer\cli.py,maybe_update_state,return,None
typer\cli.py,maybe_update_state,ctx,click.Context
typer\cli.py,list_commands,return,list[str]
typer\cli.py,list_commands,ctx,click.Context
typer\cli.py,get_command,return,Optional[Command]
typer\cli.py,get_command,ctx,click.Context
typer\cli.py,get_command,name,str
typer\cli.py,invoke,return,Any
typer\cli.py,invoke,ctx,click.Context
typer\cli.py,maybe_add_run,return,None
typer\cli.py,maybe_add_run,ctx,click.Context
typer\cli.py,get_typer_from_module,return,Optional[typer.Typer]
typer\cli.py,get_typer_from_module,module,Any
typer\cli.py,get_typer_from_state,return,Optional[typer.Typer]
typer\cli.py,maybe_add_run_to_cli,return,None
typer\cli.py,maybe_add_run_to_cli,cli,click.Group
typer\cli.py,print_version,return,None
typer\cli.py,print_version,ctx,click.Context
typer\cli.py,print_version,param,Option
typer\cli.py,print_version,value,bool
typer\cli.py,callback,return,None
typer\cli.py,callback,ctx,typer.Context
typer\cli.py,callback,path_or_module,str
typer\cli.py,callback,app,str
typer\cli.py,callback,func,str
typer\cli.py,callback,version,bool
typer\cli.py,get_docs_for_click,return,str
typer\cli.py,get_docs_for_click,obj,Command
typer\cli.py,get_docs_for_click,ctx,typer.Context
typer\cli.py,get_docs_for_click,indent,int
typer\cli.py,get_docs_for_click,name,str
typer\cli.py,get_docs_for_click,call_prefix,str
typer\cli.py,get_docs_for_click,title,Optional[str]
typer\cli.py,_parse_html,return,str
typer\cli.py,_parse_html,to_parse,bool
typer\cli.py,_parse_html,input_text,str
typer\cli.py,docs,return,None
typer\cli.py,docs,ctx,typer.Context
typer\cli.py,docs,name,str
typer\cli.py,docs,output,Optional[Path]
typer\cli.py,docs,title,Optional[str]
typer\cli.py,main,return,Any
typer\completion.py,get_completion_inspect_parameters,return,"tuple[ParamMeta, ParamMeta]"
typer\completion.py,install_callback,return,Any
typer\completion.py,install_callback,ctx,click.Context
typer\completion.py,install_callback,param,click.Parameter
typer\completion.py,install_callback,value,Any
typer\completion.py,show_callback,return,Any
